"","DAY","variable","value"
"671","25-Aug","X2001",90
"672","26-Aug","X2001",91
"673","27-Aug","X2001",91
"674","28-Aug","X2001",81
"675","29-Aug","X2001",86
"676","30-Aug","X2001",81
"677","31-Aug","X2001",82
"678","1-Sep","X2001",80
"679","2-Sep","X2001",75
"680","3-Sep","X2001",73
"681","4-Sep","X2001",81
"682","5-Sep","X2001",90
"683","6-Sep","X2001",88
"684","7-Sep","X2001",87
"685","8-Sep","X2001",86
"686","9-Sep","X2001",86
"687","10-Sep","X2001",89
"688","11-Sep","X2001",87
"689","12-Sep","X2001",84
"690","13-Sep","X2001",84
"691","14-Sep","X2001",86
"692","15-Sep","X2001",77
"693","16-Sep","X2001",77
"694","17-Sep","X2001",81
"695","18-Sep","X2001",81
"696","19-Sep","X2001",82
"697","20-Sep","X2001",84
"698","21-Sep","X2001",86
"699","22-Sep","X2001",87
"700","23-Sep","X2001",88
"701","24-Sep","X2001",69
"702","25-Sep","X2001",66
"703","26-Sep","X2001",72
"704","27-Sep","X2001",75
"705","28-Sep","X2001",78
"706","29-Sep","X2001",71
"707","30-Sep","X2001",71
"708","1-Oct","X2001",75
"709","2-Oct","X2001",80
"710","3-Oct","X2001",81
"711","4-Oct","X2001",80
"712","5-Oct","X2001",79
"713","6-Oct","X2001",70
"714","7-Oct","X2001",68
"715","8-Oct","X2001",79
"716","9-Oct","X2001",66
"717","10-Oct","X2001",73
"718","11-Oct","X2001",75
"719","12-Oct","X2001",78
"720","13-Oct","X2001",78
"721","14-Oct","X2001",75
"722","15-Oct","X2001",75
"723","16-Oct","X2001",62
"724","17-Oct","X2001",60
"725","18-Oct","X2001",64
"726","19-Oct","X2001",71
"727","20-Oct","X2001",75
"728","21-Oct","X2001",79
"729","22-Oct","X2001",80
"730","23-Oct","X2001",81
"731","24-Oct","X2001",79
"732","25-Oct","X2001",73
"733","26-Oct","X2001",64
"734","27-Oct","X2001",51
"735","28-Oct","X2001",55
"736","29-Oct","X2001",63
"737","30-Oct","X2001",72
"738","31-Oct","X2001",71
"739","1-Jul","X2002",90
"740","2-Jul","X2002",90
"741","3-Jul","X2002",87
"742","4-Jul","X2002",89
"743","5-Jul","X2002",93
"744","6-Jul","X2002",93
"745","7-Jul","X2002",89
"746","8-Jul","X2002",89
"747","9-Jul","X2002",90
"748","10-Jul","X2002",91
"749","11-Jul","X2002",84
"750","12-Jul","X2002",77
"751","13-Jul","X2002",82
